station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101016,ARIMA,1.577,1.917,165.181,-0.147,0.063
500101018,Naive,1.205,1.433,214.273,-0.004,0.000
500101018,WeeklyAvg,0.888,1.083,134.023,0.427,0.000
500101018,RandomForest,0.960,1.139,150.540,0.366,0.079
500101018,LinearRegression,0.908,1.119,119.454,0.387,0.000
500101018,Prophet,2.400,2.668,372.831,-2.480,0.168
500101018,ARIMA,1.113,1.354,216.419,0.104,0.109
500101019,Naive,7.838,8.747,167.712,-0.016,0.000
500101019,WeeklyAvg,6.634,8.361,97.737,0.072,0.000
500101019,RandomForest,5.047,5.796,106.846,0.554,0.078
500101019,LinearRegression,7.521,8.055,192.705,0.139,0.000
500101019,Prophet,18.402,21.233,608.063,-4.984,0.209
500101019,ARIMA,12.345,14.839,444.896,-1.923,0.023
500101020,Naive,0.000,0.000,0.000,1.000,0.000
500101020,WeeklyAvg,0.000,0.000,0.000,1.000,0.000
500101020,RandomForest,0.000,0.000,0.000,1.000,0.084
500101020,LinearRegression,0.000,0.000,0.000,1.000,0.002
500101020,Prophet,0.000,0.000,0.000,1.000,0.115
500101020,ARIMA,0.000,0.000,0.000,1.000,0.143
500101021,Naive,1.695,1.983,986153.425,-0.000,0.000
500101021,WeeklyAvg,0.796,1.174,1250068.874,0.649,0.000
500101021,RandomForest,1.653,1.944,1604951.842,0.039,0.097
500101021,LinearRegression,1.419,1.714,1632244.917,0.253,0.000
500101021,Prophet,1.372,1.680,844325.399,0.282,0.226
500101021,ARIMA,1.759,2.008,1087332.218,-0.026,0.082
500101022,Naive,12.605,15.762,510.262,-0.129,0.000
500101022,WeeklyAvg,7.423,10.118,102.679,0.535,0.001
500101022,RandomForest,10.171,11.541,241.003,0.395,0.086
500101022,LinearRegression,10.085,12.255,201.692,0.318,0.002
500101022,Prophet,33.231,36.729,959.717,-5.128,0.174
500101022,ARIMA,26.975,29.824,1015.006,-3.041,0.047
500101023,Naive,3.566,4.296,167.197,-0.243,0.000
500101023,WeeklyAvg,4.056,5.358,140.844,-0.934,0.000
500101023,RandomForest,6.870,7.994,271.911,-3.304,0.079
500101023,LinearRegression,5.933,6.886,265.350,-2.193,0.002
500101023,Prophet,9.755,10.887,423.151,-6.983,0.178
500101023,ARIMA,3.153,4.150,89.379,-0.160,0.036
500101024,Naive,9.034,10.007,1207.729,-0.007,0.000
500101024,WeeklyAvg,7.657,10.590,309.159,-0.128,0.000
500101024,RandomForest,8.227,11.671,966.433,-0.370,0.079
500101024,LinearRegression,7.528,11.736,794.547,-0.385,0.000
500101024,Prophet,11.957,12.428,1182.765,-0.553,0.174
500101024,ARIMA,8.071,11.707,491.355,-0.378,0.035
500101025,Naive,20.670,24.339,488.646,-0.003,0.000
500101025,WeeklyAvg,3.797,7.305,26.628,0.910,0.001
500101025,RandomForest,4.879,8.408,88.450,0.880,0.089
500101025,LinearRegression,13.970,16.751,190.390,0.525,0.002
500101025,Prophet,11.710,12.922,345.372,0.717,0.196
500101025,ARIMA,18.745,30.512,62.718,-0.577,0.036
500101026,Naive,8.277,8.856,341.407,-0.026,0.000
500101026,WeeklyAvg,5.758,7.829,128.277,0.198,0.000
500101026,RandomForest,6.347,7.584,165.087,0.248,0.079
500101026,LinearRegression,7.087,8.513,137.542,0.052,0.000
500101026,Prophet,8.292,9.433,283.217,-0.164,0.200
500101026,ARIMA,8.006,11.334,103.168,-0.680,0.025
500101027,Naive,9.295,10.024,232.069,-3.703,0.000
500101027,WeeklyAvg,9.250,11.302,137.171,-4.979,0.000
500101027,RandomForest,10.323,12.020,200.208,-5.762,0.075
500101027,LinearRegression,7.574,8.665,119.692,-2.514,0.000
500101027,Prophet,8.749,9.977,160.862,-3.659,0.213
500101027,ARIMA,3.668,4.803,68.920,-0.080,0.034
500101028,Naive,4.944,5.684,2578285.303,-0.000,0.000
500101028,WeeklyAvg,1.672,2.228,1177379.938,0.846,0.000
500101028,RandomForest,3.004,3.820,3143143.025,0.548,0.079
500101028,LinearRegression,2.968,3.923,3849493.194,0.524,0.000
500101028,Prophet,8.044,9.421,5922714.241,-1.747,0.196
500101028,ARIMA,5.621,7.868,304427.015,-0.916,0.050
500101029,Naive,2.245,3.122,188.279,-0.000,0.000
500101029,WeeklyAvg,2.401,2.779,119.386,0.207,0.000
500101029,RandomForest,3.329,4.458,363.811,-1.040,0.080
500101029,LinearRegression,4.396,5.058,401.236,-1.626,0.016
500101029,Prophet,2.009,2.618,68.055,0.297,0.167
500101029,ARIMA,2.616,3.320,242.978,-0.131,0.078
500101030,Naive,10.622,12.058,196.588,-0.120,0.000
500101030,WeeklyAvg,9.221,11.208,146.143,0.032,0.000
500101030,RandomForest,9.953,11.820,244.880,-0.076,0.068
500101030,LinearRegression,9.954,11.982,257.183,-0.106,0.000
500101030,Prophet,13.946,16.226,431.915,-1.029,0.175
500101030,ARIMA,13.279,16.332,480.216,-1.055,0.032
500101031,Naive,5.899,6.502,123.849,-0.060,0.000
500101031,WeeklyAvg,3.002,3.891,28.927,0.620,0.000
500101031,RandomForest,3.377,4.490,43.752,0.494,0.079
500101031,LinearRegression,3.054,4.243,32.119,0.548,0.000
500101031,Prophet,2.884,3.572,42.165,0.680,0.173
500101031,ARIMA,9.287,11.221,289.289,-2.158,0.044
500101032,Naive,23.205,24.317,479.050,-0.000,0.000
500101032,WeeklyAvg,5.224,9.176,55.346,0.858,0.016
500101032,RandomForest,4.976,8.935,62.659,0.865,0.080
500101032,LinearRegression,5.473,8.978,78.449,0.864,0.000
500101032,Prophet,21.286,22.875,456.479,0.115,0.182
500101032,ARIMA,29.922,38.516,975.677,-1.509,0.032
500101033,Naive,12.035,13.074,1055.877,-0.052,0.000
500101033,WeeklyAvg,3.614,5.930,74.324,0.784,0.000
500101033,RandomForest,5.034,7.358,171.108,0.667,0.080
500101033,LinearRegression,6.035,8.070,236.680,0.599,0.000
500101033,Prophet,16.672,17.336,1269.582,-0.850,0.181
500101033,ARIMA,18.620,21.655,2089.326,-1.887,0.036
500101034,Naive,4.245,5.084,224.925,-0.000,0.000
500101034,WeeklyAvg,2.964,3.619,203.804,0.493,0.000
500101034,RandomForest,3.925,5.084,286.109,-0.000,0.095
500101034,LinearRegression,2.672,3.241,177.794,0.594,0.000
500101034,Prophet,2.898,3.315,148.549,0.575,0.184
500101034,ARIMA,3.641,6.122,54.132,-0.450,0.031
500101035,Naive,6.271,8.141,246.017,-0.087,0.000
