station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101016,ARIMA,1.536,1.888,161.385,-0.01,0.087
500101018,Naive,1.21,1.413,202872.78,-0.004,0
500101018,WeeklyAvg,1.072,1.331,180456.688,0.109,0
500101018,RandomForest,1.228,1.489,65798.114,-0.115,0.096
500101018,LinearRegression,1.215,1.509,4604.395,-0.146,0.002
500101018,Prophet,2.999,3.496,600375.52,-5.148,0.232
500101018,ARIMA,1.192,1.397,203061.456,0.018,0.124
500101019,Naive,6.553,7.73,92.605,-0.189,0
500101019,WeeklyAvg,7.581,9.394,97.791,-0.756,0.001
500101019,RandomForest,6.445,7.768,120.175,-0.201,0.09
500101019,LinearRegression,6.937,8.424,126.301,-0.412,0.003
500101019,Prophet,36.133,39.068,549.967,-29.368,0.23
500101019,ARIMA,10.158,12.287,242.551,-2.004,0.039
500101020,Naive,0,0,0,1,0
500101020,WeeklyAvg,0,0,0,1,0.001
500101020,RandomForest,0,0,0,1,0.072
500101020,LinearRegression,0,0,0,1,0.004
500101020,Prophet,0,0,0,1,0.113
500101020,ARIMA,0,0,0,1,0.176
500101021,Naive,1.766,2.091,197290.412,-0.155,0
500101021,WeeklyAvg,1.46,1.886,250061.514,0.061,0.002
500101021,RandomForest,1.64,2.026,321077.375,-0.084,0.188
500101021,LinearRegression,1.498,1.857,326514.519,0.089,0.002
500101021,Prophet,1.565,1.858,168938.807,0.088,0.264
500101021,ARIMA,1.701,1.959,217534.907,-0.014,0.105
500101022,Naive,18.991,23.696,197.972,-0.271,0
500101022,WeeklyAvg,17.913,24.137,91.196,-0.319,0
500101022,RandomForest,17.623,23.301,104.178,-0.229,0.094
500101022,LinearRegression,17.362,23.155,95.388,-0.214,0.002
500101022,Prophet,39.714,45.378,466.22,-3.662,0.2
500101022,ARIMA,18.92,23.108,364.444,-0.209,0.048
500101023,Naive,4.232,4.958,1903893.693,-0.309,0
500101023,WeeklyAvg,3.938,5.521,736711.243,-0.623,0.001
500101023,RandomForest,6.319,7.414,1728411.302,-1.928,0.096
500101023,LinearRegression,5.53,6.587,1537648.386,-1.311,0.002
500101023,Prophet,5.162,6.585,694775.182,-1.31,0.216
500101023,ARIMA,3.27,4.454,1042994.754,-0.057,0.043
500101024,Naive,9.425,11.032,2952674.97,-0.03,0
500101024,WeeklyAvg,6.376,9.845,1203202.889,0.18,0
500101024,RandomForest,7.75,11.131,2246691.587,-0.048,0.105
500101024,LinearRegression,7.062,9.946,2020527.308,0.163,0.003
500101024,Prophet,9.518,10.866,2247962.874,0.001,0.218
500101024,ARIMA,7.541,12.004,1209401.792,-0.219,0.043
500101025,Naive,15.971,19.344,366.844,-0.023,0
500101025,WeeklyAvg,8.951,13.964,153.198,0.467,0
500101025,RandomForest,10.123,15.489,236.394,0.344,0.093
500101025,LinearRegression,16.563,20.787,350.738,-0.181,0.001
500101025,Prophet,11.35,13.928,256.549,0.47,0.214
500101025,ARIMA,14.282,23.776,64.429,-0.545,0.042
500101026,Naive,8.066,8.597,1107.607,-0.391,0
500101026,WeeklyAvg,4.932,6.59,326.819,0.182,0
500101026,RandomForest,7.921,9.797,756.257,-0.807,0.089
500101026,LinearRegression,6.41,8.137,521.195,-0.247,0.001
500101026,Prophet,12.162,14.218,1107.603,-2.806,0.217
500101026,ARIMA,5.399,8.339,285.79,-0.309,0.035
500101027,Naive,9.827,10.944,360.906,-0.229,0
500101027,WeeklyAvg,6.851,8.488,127.388,0.261,0.001
500101027,RandomForest,7.051,8.853,152.535,0.196,0.088
500101027,LinearRegression,6.481,8.157,151.425,0.317,0.002
500101027,Prophet,21.472,23.609,537.341,-4.72,0.233
500101027,ARIMA,8.329,11.295,139.668,-0.309,0.043
500101028,Naive,3.838,4.557,515784.658,0,0
500101028,WeeklyAvg,3.414,4.509,235564.425,0.021,0
500101028,RandomForest,3.398,4.503,628709.462,0.023,0.086
500101028,LinearRegression,4.392,5.599,770037.395,-0.51,0.001
500101028,Prophet,12.641,14.625,1185049.555,-9.301,0.213
500101028,ARIMA,5.565,7.146,60950.883,-1.46,0.055
500101029,Naive,2.635,3.364,412555.186,-0.027,0
500101029,WeeklyAvg,2.817,3.396,124414.684,-0.047,0.001
500101029,RandomForest,3.5,4.243,632273.207,-0.634,0.084
500101029,LinearRegression,4.478,5.612,744994.031,-1.858,0.002
500101029,Prophet,3.275,4.146,486277.259,-0.56,0.197
500101029,ARIMA,2.714,3.394,519728.571,-0.046,0.091
500101030,Naive,6.247,7.73,199.513,-0.068,0
500101030,WeeklyAvg,5.251,6.99,128.71,0.127,0.001
500101030,RandomForest,5.991,7.727,177.009,-0.067,0.089
500101030,LinearRegression,7.186,9.032,179.928,-0.458,0.001
500101030,Prophet,19.221,20.94,500.882,-6.837,0.196
500101030,ARIMA,17.917,19.126,570.021,-5.537,0.031
500101031,Naive,6.128,6.794,483.6,-0.019,0
500101031,WeeklyAvg,4.034,5.301,134.042,0.38,0.001
500101031,RandomForest,4.234,5.281,189.771,0.384,0.085
500101031,LinearRegression,4.177,5.402,145.81,0.356,0.002
500101031,Prophet,3.975,4.869,142.481,0.477,0.189
500101031,ARIMA,11.759,13.545,1111.464,-3.05,0.041
500101032,Naive,24.101,25.209,850.754,-0.001,0
500101032,WeeklyAvg,5.084,7.879,82.698,0.902,0
500101032,RandomForest,6.084,9.434,167.562,0.86,0.084
500101032,LinearRegression,6.731,9.427,146.445,0.86,0.002
500101032,Prophet,21.943,24.953,605.262,0.019,0.198
500101032,ARIMA,31.099,40.015,1719.834,-1.523,0.035
500101033,Naive,13.538,14.389,1518.026,0,0
500101033,WeeklyAvg,3.259,5.034,91.335,0.878,0
500101033,RandomForest,4.537,6.65,244.663,0.786,0.084
500101033,LinearRegression,4.529,6.015,391.097,0.825,0.002
500101033,Prophet,20.552,22.508,2583.78,-1.447,0.202
500101033,ARIMA,16.896,20.578,2969.88,-1.045,0.041
500101034,Naive,3.381,4.1,392608.976,-0.048,0
500101034,WeeklyAvg,2.571,3.773,98172.11,0.113,0
500101034,RandomForest,2.98,4.146,164859.605,-0.071,0.084
500101034,LinearRegression,3.28,4.435,124135.6,-0.226,0.002
500101034,Prophet,3.01,3.775,165098.878,0.112,0.198
500101034,ARIMA,2.98,4.768,103912.095,-0.416,0.036
500101035,Naive,6.053,7.246,2444238.97,-0.042,0
500101035,WeeklyAvg,5.016,6.651,1158577.673,0.122,0
500101035,RandomForest,6.234,7.449,2596794.212,-0.101,0.086
500101035,LinearRegression,4.932,6.123,1794387.108,0.256,0.002
500101035,Prophet,4.913,5.84,1919685.443,0.323,0.197
500101035,ARIMA,6.989,9.568,788968.563,-0.817,0.048
500101036,Naive,3.371,4.357,399534.963,-0.042,0
500101036,WeeklyAvg,3.652,4.927,63669.811,-0.332,0.001
500101036,RandomForest,3.686,4.886,129263.371,-0.31,0.082
500101036,LinearRegression,3.882,4.913,356832.83,-0.325,0.002
500101036,Prophet,3.774,5.058,182329.25,-0.404,0.184
500101036,ARIMA,4.773,6.34,81543.624,-1.206,0.039
500101037,Naive,4.695,5.606,243.705,0,0
500101037,WeeklyAvg,3.641,4.73,153.029,0.288,0
500101037,RandomForest,5.275,6.173,291.789,-0.213,0.088
500101037,LinearRegression,4.591,5.637,212.622,-0.012,0.002
500101037,Prophet,3.209,4.029,154.746,0.483,0.192
500101037,ARIMA,5.293,7.704,77.168,-0.89,0.042
500101038,Naive,5.928,7.59,1400520.891,-0.127,0
500101038,WeeklyAvg,5.706,7.552,568552.038,-0.116,0.001
500101038,RandomForest,5.075,6.769,1022019.138,0.104,0.123
500101038,LinearRegression,5.464,7.102,538838.706,0.013,0.002
500101038,Prophet,7.326,9.057,1978708.539,-0.605,0.22
500101038,ARIMA,7.753,10.511,110180.614,-1.161,0.037
500101039,Naive,5.248,6.84,1819052.852,-0.002,0
500101039,WeeklyAvg,4.2,5.867,583504.485,0.262,0
500101039,RandomForest,4.406,5.784,1184296.7,0.283,0.095
500101039,LinearRegression,4.711,6.318,650538.939,0.145,0.002
500101039,Prophet,6.351,7.487,1294958.478,-0.201,0.224
500101039,ARIMA,5.061,6.8,1036764.656,0.009,0.134
500101040,Naive,5.169,5.778,6011283.936,-0.143,0
500101040,WeeklyAvg,3.24,4.358,1547171.595,0.35,0.001
500101040,RandomForest,10.92,12.362,7341124.429,-4.233,0.09
500101040,LinearRegression,6.606,7.847,3612020.982,-1.109,0.002
500101040,Prophet,6.311,7.712,3489106.749,-1.037,0.233
500101040,ARIMA,4.039,5.982,2168834.577,-0.225,0.048
500101041,Naive,9.043,10.289,540.048,-0.014,0
500101041,WeeklyAvg,7.372,8.782,348.657,0.262,0
500101041,RandomForest,13.664,16.469,897.943,-1.597,0.101
500101041,LinearRegression,12.007,14.276,897.961,-0.951,0.003
500101041,Prophet,10.487,12.42,500.065,-0.477,0.237
500101041,ARIMA,9.045,10.307,533.232,-0.017,0.038
500101042,Naive,5.1,5.502,666.352,-0.003,0
500101042,WeeklyAvg,2.066,3.026,81.005,0.697,0
500101042,RandomForest,2.369,3.369,148.401,0.624,0.117
500101042,LinearRegression,2.089,3.014,105.298,0.699,0.002
500101042,Prophet,3.884,4.589,362.589,0.302,0.264
500101042,ARIMA,6.94,8.738,1393.227,-1.53,0.045
500101091,Naive,6.925,8.296,78.061,-0.165,0
500101091,WeeklyAvg,6.308,7.891,45.85,-0.054,0
500101091,RandomForest,7.206,8.906,76.49,-0.343,0.09
500101091,LinearRegression,5.782,6.801,54.3,0.217,0.002
500101091,Prophet,7.009,8.801,87.811,-0.312,0.214
500101091,ARIMA,6.706,8.162,109.578,-0.128,0.038
500101092,Naive,5.631,7.054,94.974,-0.055,0
500101092,WeeklyAvg,4.605,6.55,60.488,0.09,0
500101092,RandomForest,5.862,6.928,139.137,-0.018,0.093
500101092,LinearRegression,7.018,7.717,136.569,-0.263,0.002
500101092,Prophet,11.745,12.983,259.352,-2.575,0.206
500101092,ARIMA,11.889,13.518,291.325,-2.876,0.033
500101093,Naive,4.848,6.807,130.121,-0.168,0
500101093,WeeklyAvg,5.216,7.523,94.273,-0.427,0
500101093,RandomForest,5.366,6.784,202.333,-0.16,0.092
500101093,LinearRegression,5.354,6.749,183.762,-0.148,0.002
500101093,Prophet,6.998,8.955,253.921,-1.021,0.219
500101093,ARIMA,5.502,8.18,73.291,-0.687,0.061
500101094,Naive,3.737,4.471,114.202,-0.048,0
500101094,WeeklyAvg,2.507,3.156,51.653,0.478,0
500101094,RandomForest,3.232,3.975,102.271,0.172,0.096
500101094,LinearRegression,3.484,4.344,110.178,0.011,0.002
500101094,Prophet,5.718,6.787,95.002,-1.415,0.315
500101094,ARIMA,3.764,4.503,114.49,-0.063,0.121
500101095,Naive,8.479,9.96,310.795,-0.172,0
500101095,WeeklyAvg,6.704,8.69,115.381,0.107,0.001
500101095,RandomForest,7.375,9.5,195.248,-0.067,0.091
500101095,LinearRegression,8.347,10.727,199.886,-0.36,0.002
500101095,Prophet,13.508,15.744,300.3,-1.93,0.238
500101095,ARIMA,10.091,12.358,394.929,-0.805,0.031
500101097,Naive,9.651,11.336,404.528,-0.06,0
500101097,WeeklyAvg,7.555,9.941,208.372,0.185,0.001
500101097,RandomForest,9.122,12.601,520.025,-0.31,0.097
500101097,LinearRegression,7.792,8.611,253.278,0.388,0.004
500101097,Prophet,17.522,21.649,380.964,-2.867,0.208
500101097,ARIMA,9.352,13.469,582.781,-0.496,0.031
500101098,Naive,4.282,5.013,172.998,-0.025,0
500101098,WeeklyAvg,3.416,4.113,67.31,0.31,0
500101098,RandomForest,3.585,4.419,103.278,0.203,0.09
500101098,LinearRegression,2.8,3.465,92.959,0.51,0.002
500101098,Prophet,13.352,15.013,436.146,-8.193,0.201
500101098,ARIMA,8.252,9.565,341.343,-2.732,0.035
500101099,Naive,8.99,10.481,127.469,0,0
500101099,WeeklyAvg,8.195,10.796,87.019,-0.061,0
500101099,RandomForest,8.217,10.416,132.935,0.012,0.093
500101099,LinearRegression,8.273,10.184,95.117,0.056,0.002
500101099,Prophet,7.959,9.803,76.722,0.125,0.222
500101099,ARIMA,9.065,10.526,129.254,-0.009,0.084
500101100,Naive,10.528,12.934,138.808,-0.112,0
500101100,WeeklyAvg,7.643,9.305,72.075,0.425,0
500101100,RandomForest,9.869,12.735,91.072,-0.078,0.09
500101100,LinearRegression,8.808,10.989,80.4,0.197,0.002
500101100,Prophet,15.401,18.51,65.269,-1.277,0.202
500101100,ARIMA,10.459,12.849,140.083,-0.097,0.04
500101101,Naive,13.474,16.067,161.986,-0.044,0
500101101,WeeklyAvg,10.905,14.236,111.436,0.181,0
500101101,RandomForest,13.148,16.434,163.468,-0.092,0.09
500101101,LinearRegression,15.744,19.992,193.374,-0.616,0.002
500101101,Prophet,15.305,18.371,153.469,-0.365,0.212
500101101,ARIMA,13.59,16.332,153.056,-0.078,0.033
500101102,Naive,5.645,6.531,88.409,-0.072,0
500101102,WeeklyAvg,4.536,6.025,56.683,0.088,0
500101102,RandomForest,5.714,6.433,111.454,-0.04,0.093
500101102,LinearRegression,5.291,6.281,85.811,0.008,0.003
500101102,Prophet,7.361,9.11,150.224,-1.086,0.171
500101102,ARIMA,9.768,11.614,215.738,-2.391,0.038
500101103,Naive,6.5,7.463,136.883,-0.081,0
500101103,WeeklyAvg,5.112,7.459,75.739,-0.08,0.001
500101103,RandomForest,6.668,8.198,145.24,-0.305,0.087
500101103,LinearRegression,7.379,9.24,118.118,-0.657,0.002
500101103,Prophet,23.813,29.474,428.603,-15.864,0.176
500101103,ARIMA,6.302,7.437,181.119,-0.074,0.045
500101104,Naive,5.002,5.731,244.736,-0.131,0
500101104,WeeklyAvg,4.371,5.659,129.891,-0.102,0.001
500101104,RandomForest,4.326,5.075,214.217,0.113,0.093
500101104,LinearRegression,5.198,6.311,262.514,-0.371,0.002
500101104,Prophet,12.031,14.294,357.181,-6.033,0.226
500101104,ARIMA,4.867,5.496,351.472,-0.04,0.048
500101105,Naive,11.173,13.146,69.183,-1.011,0
