Model,station_id,MAE,RMSE,MAPE,R2,Time_s
ARIMA,500107524.2226439,6.97022770398482,8.557387729285262,447126.63511764706,-1.6503124604680584,0.053860847564832386
LinearRegression,500107524.2226439,5.480224050632912,6.851818987341772,412305.6895443038,-1.2519943037974683,0.0017387729285262494
Naive,500107524.2226439,5.482242884250474,6.558156230234029,767978.8625869703,-0.7436318785578748,4.237824161922834e-05
Prophet,500107524.2226439,11.353189120809613,13.192905123339658,933798.6567077799,-7.881479443390259,0.18662555344718534
RandomForest,500107524.2226439,5.4254759493670885,6.769467088607595,443465.438606962,-1.2654012658227847,0.07793991144845035
WeeklyAvg,500107524.2226439,5.035986084756483,6.409877925363694,478651.28918406076,-0.9423814041745731,0.0004592030360531309
