YouBike Station ID,YouBike Station Name,Closest Weather Station,Distance (km)
500101141,YouBike2.0_捷運信義安和站(2號出口),Xinyi,1.40430952924661
500101142,YouBike2.0_八德市場,Songshan,1.46201161473121
500101143,YouBike2.0_昌隆公園,Songshan,1.20194670617672
500101144,YouBike2.0_捷運大安森林公園站(2號出口),Da'an Forest Park,0.460807529942222
500101145,YouBike2.0_信義延吉街口,Xinyi,0.902322292707221
500101146,YouBike2.0_光信公園(光復南路456巷),Xinyi,0.907889957536786
500101147,YouBike2.0_僑安地下停車場(2號出口)東南側,Xinyi,0.789566016252862
500101148,YouBike2.0_建國南路一段279巷口,Da'an Forest Park,0.781155269964248
500101149,YouBike2.0_捷運忠孝新生站(6號出口),Da'an Forest Park,1.30248870084186
500101150,YouBike2.0_捷運忠孝新生站(4號出口),Da'an Forest Park,1.45504304886127
500101151,YouBike2.0_大安高工,Da'an Forest Park,0.742158756438893
500101152,YouBike2.0_捷運忠孝新生站(3號出口),Da'an Forest Park,1.390400960312
500101153,YouBike2.0_瑠公公園,Songshan,0.860228335692718
500101154,YouBike2.0_敦化市民路口,Songshan,0.548279195636589
500101155,YouBike2.0_捷運大安森林公園站(5號出口),Da'an Forest Park,0.422220211409748
500101156,YouBike2.0_信義建國路口,Da'an Forest Park,0.379199570447712
500101157,YouBike2.0_東豐公園,Da'an Forest Park,1.12024968197093
500101158,YouBike2.0_德安公園(四維路66巷),Da'an Forest Park,1.28477808850353
500101159,YouBike2.0_捷運忠孝復興站(5號出口),Songshan,0.938326887031828
500101160,YouBike2.0_捷運忠孝敦化站(2號出口),Songshan,0.819979126506989
500101161,YouBike2.0_捷運忠孝敦化站(7號出口),Songshan,0.796011088167397
500101162,YouBike2.0_忠孝東路四段223巷口(市民大道側),Songshan,0.55203481266224
500101163,YouBike2.0_瑞安街208巷,Da'an Forest Park,0.42975790061083
500101165,YouBike2.0_樂利路21巷口,Da'an Forest Park,1.5317083671134
500101166,YouBike2.0_捷運科技大樓站(台北教育大學),Da'an Forest Park,0.959369524083416
500101167,YouBike2.0_捷運國父紀念館站(2號出口),Xinyi,0.813571272376463
500101168,YouBike2.0_仁愛醫院,Da'an Forest Park,1.31302032652139
500101169,YouBike2.0_捷運信義安和站(4號出口),Xinyi,1.21291343261175
500101170,YouBike2.0_成功國宅,Da'an Forest Park,1.09264388714444
500101171,YouBike2.0_仁愛延吉街口,Xinyi,0.904727750196169
500101172,YouBike2.0_捷運信義安和站(1號出口),Xinyi,1.30519354048697
500101173,YouBike2.0_敦化南路二段103巷口,Da'an Forest Park,1.29125684418046
500101174,YouBike2.0_復興南路二段128巷口,Da'an Forest Park,0.722105264816002
500101175,YouBike2.0_和平東建國南路口,Da'an Forest Park,0.444667313102951
500101176,YouBike2.0_芳蘭山莊,NTU,0.8839573882629
500101177,YouBike2.0_復興南路一段126巷口,Songshan,0.962975702373896
500101179,YouBike2.0_捷運東門站(5號出口),Da'an Forest Park,0.809973292449825
500101180,YouBike2.0_仁愛路四段48巷口,Da'an Forest Park,1.28880649584352
500101181,YouBike2.0_捷運公館站(3號出口),NTU,0.588953485766832
500101182,YouBike2.0_臺北科技大學(電機工程系),Da'an Forest Park,1.37492963607024
500101184,YouBike2.0_新生南路三段94巷口,NTU,0.706268235439875
500101185,YouBike2.0_辛亥新生路口西北側,Da'an Forest Park,0.7932452015294
500101186,YouBike2.0_捷運大安站(6號出口),Da'an Forest Park,0.952267846231411
500101187,YouBike2.0_臥龍街195巷口,NTU,1.35289599915399
500101188,YouBike2.0_辛亥路三段157巷口,NTU,1.02640341860213
500101189,YouBike2.0_臥龍基隆路口,NTU,1.14221790932108
500101190,YouBike2.0_敦親公園,Da'an Forest Park,0.829639891538876
500101191,YouBike2.0_大安運動中心,NTU,0.933829284333657
500101192,YouBike2.0_和平敦化路口,Da'an Forest Park,1.41044845309383
500101193,YouBike2.0_基隆長興路口,NTU,0.585077960834837
500101194,YouBike2.0_仁愛路四段122巷口,Songshan,1.22906260681065
500101196,YouBike2.0_市民敦化路口,Songshan,0.461849034251525
500101197,YouBike2.0_忠孝東路四段49巷口,Songshan,0.925281530442492
500101198,YouBike2.0_市民復興路口(東南側),Songshan,0.784158038715977
500101199,YouBike2.0_和平新生路口西南側,Da'an Forest Park,0.451806577690643
500101200,YouBike2.0_全安公園,Da'an Forest Park,1.55776322001707
500101201,YouBike2.0_信義路三段134巷口,Da'an Forest Park,0.541365167325711
500101202,YouBike2.0_仁愛敦南圓環(東南側),Songshan,1.28517988751117
